.Kecamatan,.2018,.2019,.2020
Getasan,13,14,7
Tengaran,15,14,9
Susukan,20,10,2
Kaliwungu,2,3,1
Suruh,8,7,6
Pabelan,13,11,1
Tuntang,25,23,14
Banyubiru,11,14,12
Jambu,14,8,15
Sumowono,6,9,4
Ambarawa,20,17,14
Bandungan,27,28,14
Bawen,19,19,28
Bringin,9,17,11
Bancak,1,5,3
Pringapus,22,23,6
Bergas,43,71,43
Ungaran Barat,31,14,7
Ungaran Timur,23,8,3
